canton,amount
AG,126187520.87
BE,1574573108.93
BS,1392497906.9799998
FR,459073668.2500001
GE,1877101540.0999997
GR,36538316.0
JU,34790345.46
LU,54673286.669999994
NE,401897647.29999995
SG,110718941.08999999
SH,176691.0
SO,42771914.120000005
SZ,936551.0
TG,4018981.0
TI,115262319.9
VD,2401655902.45
VS,29644090.2
ZG,495715.0
ZH,3661665245.0100007
