playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
909,1052,6,0,168,180.0,80.0,2,474,234,98,142,186,56,1,2,0.0,0.0,146,44,0.34769940401076227,0.0032968095236196103,0.46120878521100883,0.013752210497518,1,0.3294152756271142,0.42295830095250525,0.3415294698825891,0.40195042356301414
910,1053,12,2,1368,194.0,86.0,5,77,57,9,11,0,3,0,0,0.0,0.25,52,2,0.33666320612209455,5.45402511307639e-05,0.33820428862102736,0.000225061636579017,1,0.33663432423231987,0.3363625040480283,0.3366518283690512,0.3374778612766357
911,1054,15,2,324,178.0,73.0,12,151,65,42,44,23,9,1,0,0.25,0.25,91,4,0.3386020720306077,5.45402511307639e-05,0.3471780574782572,0.000225061636579017,2,0.3368640404510047,0.33786096847219926,0.3378177371744933,0.3427232898976124
912,1055,91,2,598,184.0,80.0,7,167,71,41,55,7,26,2,1,0.25,0.5,68,7,0.3379290374095464,0.000808662587496386,0.3585159226119485,0.00452078812067072,2,0.3347406801679161,0.3426504866033881,0.3371578601525658,0.34514853344456453
913,1570,6,0,811,190.0,84.0,5,104,60,15,29,0,1,0,0,0.0,0.0,57,25,0.3444601768400597,9.638668990978081e-06,0.4771524191687199,3.6880224734070796e-05,1,0.32844662471760633,0.3680024776634879,0.3373366008515861,0.4275234653145007
914,1571,16,2,125,184.0,78.0,10,286,137,67,82,23,10,0,0,0.0,0.0,89,34,0.35020986706978746,0.000219256366263838,0.4782654707932582,0.000822971285640673,1,0.3377503284449227,0.39307070633856395,0.3419879399467625,0.3925255507388245
915,1056,60,0,863,183.0,78.0,10,449,165,113,171,9,67,0,0,0.25,0.25,74,17,0.3370894608794615,9.638668990978081e-06,0.42391409357655707,3.6880224734070796e-05,2,0.3271733990764858,0.4044910577352701,0.3284036781795138,0.3675650975060951
916,224,75,3,759,177.0,68.0,7,76,26,13,37,3,15,2,1,0.25,0.5,36,5,0.3540625415571128,0.00022948964086646402,0.5087907936816357,0.00100164730649311,2,0.3277982725096252,0.43957999049711005,0.3589838394839506,0.5323322439308226
917,1057,15,2,1234,188.0,86.0,2,197,92,40,65,64,14,0,0,0.0,0.0,88,24,0.35102275425691004,0.0032968095236196103,0.47573886327340315,0.013752210497518,1,0.33457194683133007,0.38125561184850193,0.349741491192997,0.44758367377936176
918,1058,34,0,818,183.0,76.0,4,413,227,97,89,29,74,3,0,1.0,1.0,136,38,0.3250363900607825,0.0033441646155196896,0.3499689283690838,0.0137213702829746,5,0.3325489740881492,0.38101921857975546,0.3394624018431828,0.4053700645274417
919,225,48,0,1184,184.0,77.0,10,432,256,99,77,38,70,2,2,0.75,0.75,139,38,0.3549466707176112,0.0032968095236196103,0.4909971747425825,0.013752210497518,4,0.3284410105482965,0.45237302386173606,0.366338551678979,0.49924125251606816
